ID,Name,Dumpster,Month,Year,Date,Weight,Volume,PlasticBottles,Polystyrene,CigaretteButts,GlassBottles,PlasticBags,Wrappers,SportsBalls,HomesPowered,plastic_dumping_score,drinking_smoking_score
mister,Mister Trash Wheel,1,May,2014,5/16/2014,4.31,18,1450,1820,126000,72,584,1162,7,0,-1.2619126779986471,3.589004472112328
mister,Mister Trash Wheel,2,May,2014,5/16/2014,2.74,13,1120,1030,91000,42,496,874,5,0,-0.9277194024595544,1.5585042770931659
mister,Mister Trash Wheel,3,May,2014,5/16/2014,3.4499999999999997,15,2450,3100,105000,50,1080,2032,6,0,-0.022252569611066735,1.8753452716606405
mister,Mister Trash Wheel,4,May,2014,5/17/2014,3.1,15,2380,2730,100000,52,896,1971,6,0,-0.2855759209038,2.064765582498378
mister,Mister Trash Wheel,5,May,2014,5/17/2014,4.06,18,980,870,120000,72,368,753,7,0,-1.6649417961457325,3.6788613714757012
mister,Mister Trash Wheel,6,May,2014,5/20/2014,2.71,13,1430,2140,90000,46,672,1144,5,0,-0.6660526522324934,1.7586126636254247
mister,Mister Trash Wheel,7,May,2014,5/21/2014,1.91,8,910,1090,56000,32,416,692,3,0,-0.8674220797293672,0.8881769290910301
mister,Mister Trash Wheel,8,May,2014,5/28/2014,3.7,16,3580,4310,112000,58,1552,3015,6,0,0.6498632743522882,2.2429345724254874
mister,Mister Trash Wheel,9,June,2014,6/5/2014,2.52,14,2400,2790,98000,49,984,1988,6,0,-0.13526615712358514,1.8349487272751515
mister,Mister Trash Wheel,10,June,2014,6/11/2014,3.76,18,1340,1730,130000,75,448,1066,7,0,-1.481369641782824,3.835171811017845
mister,Mister Trash Wheel,11,June,2014,6/11/2014,3.4299999999999997,15,740,869,110000,38,344,544,6,0,-1.0927593440273624,1.3414916578765075
mister,Mister Trash Wheel,12,June,2014,6/12/2014,4.17,19,950,1140,133000,45,520,727,8,0,-0.9786511205496473,1.774374253015418
mister,Mister Trash Wheel,13,June,2014,6/13/2014,5.13,15,530,630,104000,58,224,361,6,0,-1.6658332920761003,2.7673219302628413
mister,Mister Trash Wheel,14,June,2014,6/13/2014,4.17,15,840,760,100000,62,344,631,6,0,-1.5449208864921293,2.99811261104322
mister,Mister Trash Wheel,15,June,2014,6/19/2014,3.28,15,1130,1350,102000,64,432,883,6,0,-1.3778129828532504,3.0908972884870987
mister,Mister Trash Wheel,16,June,2014,6/19/2014,3.05,15,1640,2130,106000,56,752,1327,6,0,-0.7282931229696159,2.4248306571975338
mister,Mister Trash Wheel,17,June,2014,6/28/2014,2.49,13,1350,1620,89000,47,696,1075,5,0,-0.7283620410101491,1.8363579960027603
mister,Mister Trash Wheel,18,July,2014,7/3/2014,2.54,15,1640,1960,108000,65,744,1327,6,0,-0.9241383785773056,3.053209234076668
mister,Mister Trash Wheel,19,July,2014,7/7/2014,2.4099999999999997,15,1730,2100,107000,63,896,1405,6,0,-0.708525374128253,2.8733109839332927
